iter	Passed	Remaining
1452	22332	23777
1453	22346	23760
1454	22360	23743
1455	22376	23728
1456	22390	23712
1457	22413	23704
1458	22430	23691
1459	22454	23685
1460	22468	23668
1461	22483	23651
1462	22494	23631
1463	22508	23615
1464	22518	23594
1465	22532	23577
1466	22547	23561
1467	22562	23545
1468	22575	23528
1469	22588	23510
1470	22600	23491
1471	22614	23475
1472	22628	23458
1473	22639	23438
1474	22650	23418
1475	22663	23400
1476	22677	23383
1477	22692	23367
1478	22707	23352
1479	22721	23335
1480	22732	23316
1481	22747	23300
1482	22762	23284
1483	22777	23268
1484	22791	23251
1485	22805	23234
1486	22820	23219
1487	22831	23199
1488	22842	23180
1489	22856	23163
1490	22870	23146
1491	22885	23130
1492	22899	23114
1493	22913	23098
1494	22928	23081
1495	22942	23065
1496	22956	23048
1497	22971	23032
1498	22985	23016
1499	23000	23000
1500	23012	22981
1501	23026	22965
1502	23040	22948
1503	23051	22929
1504	23065	22912
1505	23079	22895
1506	23093	22878
1507	23108	22862
1508	23122	22846
1509	23133	22826
1510	23148	22811
1511	23162	22795
1512	23173	22775
1513	23184	22755
1514	23195	22736
1515	23209	22719
1516	23224	22703
1517	23238	22687
1518	23250	22668
1519	23261	22648
1520	23272	22629
1521	23288	22615
1522	23299	22595
1523	23313	22579
1524	23328	22563
1525	23343	22548
1526	23358	22532
1527	23372	22515
1528	23386	22499
1529	23401	22483
1530	23412	22464
1531	23427	22449
1532	23442	22433
1533	23456	22416
1534	23470	22399
1535	23484	22383
1536	23499	22367
1537	23513	22351
1538	23527	22335
1539	23543	22320
1540	23558	22304
1541	23572	22288
1542	23587	22272
1543	23602	22257
1544	23617	22242
1545	23633	22227
1546	23648	22211
1547	23663	22195
1548	23674	22176
1549	23688	22160
1550	23700	22142
1551	23715	22126
1552	23730	22110
1553	23746	22096
1554	23760	22079
1555	23776	22065
1556	23791	22049
1557	23805	22033
1558	23816	22013
1559	23831	21998
1560	23845	21981
1561	23859	21965
1562	23875	21950
1563	23890	21935
1564	23905	21919
1565	23917	21901
1566	23928	21882
1567	23943	21867
1568	23957	21850
1569	23972	21834
1570	23986	21818
1571	23999	21801
1572	24014	21785
1573	24029	21770
1574	24043	21753
1575	24058	21737
1576	24069	21718
1577	24080	21699
1578	24091	21681
1579	24102	21662
1580	24113	21643
1581	24124	21623
1582	24136	21605
1583	24147	21586
1584	24161	21570
1585	24176	21554
1586	24187	21535
1587	24198	21516
1588	24209	21497
1589	24221	21479
1590	24232	21460
1591	24245	21442
1592	24256	21424
1593	24268	21406
1594	24280	21388
1595	24294	21371
1596	24309	21356
1597	24324	21341
1598	24342	21327
1599	24358	21313
1600	24372	21297
1601	24388	21282
1602	24403	21267
1603	24418	21251
1604	24433	21236
1605	24447	21220
1606	24462	21205
1607	24477	21189
1608	24492	21173
1609	24506	21157
1610	24520	21141
1611	24535	21125
1612	24548	21109
1613	24563	21093
1614	24574	21074
1615	24590	21059
1616	24602	21042
1617	24617	21026
1618	24628	21007
1619	24640	20989
1620	24651	20970
1621	24661	20951
1622	24673	20933
1623	24687	20917
1624	24702	20901
1625	24717	20887
1626	24735	20873
1627	24749	20857
1628	24763	20841
1629	24775	20823
1630	24787	20805
1631	24799	20787
1632	24811	20770
1633	24824	20752
1634	24836	20734
1635	24848	20716
1636	24859	20698
1637	24871	20680
1638	24883	20663
1639	24896	20645
1640	24908	20627
1641	24921	20611
1642	24936	20595
1643	24949	20579
1644	24960	20560
1645	24975	20544
1646	24989	20528
1647	25004	20513
1648	25019	20497
1649	25033	20481
1650	25044	20462
1651	25054	20443
1652	25069	20428
1653	25083	20412
1654	25098	20397
1655	25109	20378
1656	25124	20363
1657	25135	20344
1658	25147	20326
1659	25162	20312
1660	25179	20298
1661	25194	20283
1662	25209	20267
1663	25226	20253
1664	25241	20238
